City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Vaini,TO,77.16,light rain,-21.2,-175.2,Keleti Beach Resort
4,Georgetown,MY,78.73,thunderstorm with rain,5.4112,100.3354,Cititel Penang
6,Hilo,US,75.4,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
7,Cayenne,GF,87.84,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
16,Sarangani,PH,83.34,scattered clouds,5.4033,125.4636,Ballistic Islet
17,Ranong,TH,78.37,broken clouds,9.9658,98.6348,Tinidee Hotel@Ranong
19,Kapaa,US,77.32,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
22,Kahului,US,78.84,few clouds,20.8947,-156.47,Maui Seaside Hotel
31,Trairi,BR,86.32,broken clouds,-3.2778,-39.2689,janelas do mar
39,Katherine,AU,80.92,overcast clouds,-14.4667,132.2667,Pine Tree Motel
40,Elat,IL,78.64,clear sky,29.5581,34.9482,Club Hotel Eilat
41,Hithadhoo,MV,82.31,light rain,-0.6,73.0833,Scoop Guest House
45,Bambous Virieux,MU,77.25,light rain,-20.3428,57.7575,Casa Tia Villa
48,Nouakchott,MR,76.93,broken clouds,18.0858,-15.9785,HOTEL IMAN فندق إيمان
53,Luwuk,ID,77.94,broken clouds,-0.9516,122.7875,Hotel Santika Luwuk
59,Aracruz,BR,76.21,overcast clouds,-19.8203,-40.2733,OYO Hotel Iramar
61,Rikitea,PF,75.04,light rain,-23.1203,-134.9692,People ThankYou
68,Souillac,MU,77.38,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
69,Mahebourg,MU,77.29,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
70,Maragogi,BR,83.44,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
80,San Felipe,VE,87.8,broken clouds,10.3399,-68.7425,Posada Llovizna Rodríguez
84,Hambantota,LK,77.83,overcast clouds,6.1241,81.1185,Bungalow 63
86,Bathsheba,BB,88.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
88,Santa Maria,BR,76.96,scattered clouds,-29.6842,-53.8069,Hotel Morotin
94,Sao Gabriel Da Cachoeira,BR,78.6,moderate rain,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
96,Atar,MR,89.65,clear sky,20.5169,-13.0499,Oumou Elghoura
102,Honiara,SB,76.64,broken clouds,-9.4333,159.95,Heritage Park Hotel
108,Misratah,LY,75.72,overcast clouds,32.3754,15.0925,Almasa Hotel
109,Avarua,CK,75.25,scattered clouds,-21.2078,-159.775,Paradise Inn
111,Makakilo City,US,77.32,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
121,Palu,ID,75.76,scattered clouds,-0.8917,119.8707,Hotel Santika Palu
125,Teahupoo,PF,76.96,scattered clouds,-17.8333,-149.2667,Vanira Lodge
129,Butaritari,KI,81.57,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
133,Faanui,PF,79.56,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
142,Touros,BR,86.9,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
146,Neuquen,AR,82.29,clear sky,-38.9516,-68.0591,Hotel del Comahue
150,Sulangan,PH,82.92,broken clouds,11.1373,123.7228,Maia's Beach Resort
151,Rodrigues Alves,BR,89.8,overcast clouds,-7.738,-72.6509,Pousada Aconchego
155,Dingle,PH,77.74,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
160,San Patricio,US,77.09,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
162,Bengkulu,ID,77.83,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
