City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Thompson,CA,55.7435,-97.8558,42.96,75,75,13.8,broken clouds
1,Ushuaia,AR,-54.8,-68.3,44.26,81,75,23.02,light rain
2,Vaini,TO,-21.2,-175.2,77.16,94,75,8.05,light rain
3,Grindavik,IS,63.8424,-22.4338,36.07,75,90,13.8,light rain
4,Georgetown,MY,5.4112,100.3354,78.73,96,40,2.3,thunderstorm with rain
5,Grafton,US,42.207,-71.6856,57.45,35,1,3.44,clear sky
6,Hilo,US,19.7297,-155.09,75.4,91,75,6.91,light rain
7,Cayenne,GF,4.9333,-52.3333,87.84,81,75,5.99,broken clouds
8,Khatanga,RU,71.9667,102.5,16.0,94,100,13.27,light snow
9,Coihaique,CL,-45.5752,-72.0662,65.01,58,75,9.22,broken clouds
10,Busselton,AU,-33.65,115.3333,52.05,85,53,11.59,broken clouds
11,Mataura,NZ,-46.1927,168.8643,47.48,97,38,1.95,scattered clouds
12,Hobart,AU,-42.8794,147.3294,49.26,84,75,4.61,broken clouds
13,Port Alfred,ZA,-33.5906,26.891,64.44,84,100,9.57,light rain
14,Cherskiy,RU,68.75,161.3,10.06,96,100,5.79,light snow
15,Nanortalik,GL,60.1432,-45.2371,30.69,68,100,9.82,overcast clouds
16,Sarangani,PH,5.4033,125.4636,83.34,78,31,18.5,scattered clouds
17,Ranong,TH,9.9658,98.6348,78.37,91,78,3.62,broken clouds
18,Bredasdorp,ZA,-34.5322,20.0403,58.32,67,100,3.44,overcast clouds
19,Kapaa,US,22.0752,-159.319,77.32,80,40,3.0,scattered clouds
20,Lebu,CL,-37.6167,-73.65,58.5,68,9,14.74,clear sky
21,Wajima,JP,37.4,136.9,60.55,74,40,8.95,scattered clouds
22,Kahului,US,20.8947,-156.47,78.84,78,20,13.8,few clouds
23,Chuy,UY,-33.6971,-53.4616,65.62,57,94,9.24,overcast clouds
24,Lewisporte,CA,49.2499,-55.0482,51.13,71,100,11.83,overcast clouds
25,Sosnovo-Ozerskoye,RU,52.5249,111.5418,11.97,97,36,6.44,scattered clouds
26,San Carlos Del Zulia,VE,9.0,-71.9135,93.83,44,84,4.88,broken clouds
27,Barrow,US,71.2906,-156.7887,26.62,74,90,10.36,overcast clouds
28,College,US,64.8569,-147.8028,22.66,93,90,0.0,light snow
29,Mehamn,NO,71.0357,27.8492,32.18,51,0,18.41,clear sky
30,Yerbogachen,RU,61.2767,108.0108,25.23,94,100,13.38,light snow
31,Trairi,BR,-3.2778,-39.2689,86.32,60,60,15.32,broken clouds
32,Cape Town,ZA,-33.9258,18.4232,62.28,68,40,4.0,scattered clouds
33,Sestu,IT,39.2943,9.093,62.49,75,20,1.01,few clouds
34,Tinton Falls,US,40.3043,-74.1004,57.38,50,1,1.01,clear sky
35,Jadu,LY,31.953,12.0261,62.37,73,89,11.21,overcast clouds
36,Ulladulla,AU,-35.35,150.4667,64.76,94,100,2.42,light rain
37,Narsaq,GL,60.9167,-46.05,34.02,73,100,4.54,overcast clouds
38,Yichun,CN,47.7,128.9,21.81,60,100,1.77,overcast clouds
39,Katherine,AU,-14.4667,132.2667,80.92,89,90,0.0,overcast clouds
40,Elat,IL,29.5581,34.9482,78.64,38,0,8.05,clear sky
41,Hithadhoo,MV,-0.6,73.0833,82.31,74,72,12.88,light rain
42,Castro,BR,-24.7911,-50.0119,72.99,76,78,2.17,moderate rain
43,Ilulissat,GL,69.2167,-51.1,21.22,68,20,18.41,light snow
44,Paita,PE,-5.0892,-81.1144,73.96,72,69,16.71,broken clouds
