City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Rikitea,PF,2021-11-05 21:11:56,-23.1203,-134.9692,74.7,78,82,9.75
1,Ushtobe,KZ,2021-11-05 21:11:56,45.2514,77.9838,12.2,73,1,9.44
2,Zhigansk,RU,2021-11-05 21:11:57,66.7697,123.3711,4.64,95,100,23.71
3,Waingapu,ID,2021-11-05 21:11:57,-9.6567,120.2641,80.65,80,100,3.36
4,Bay Roberts,CA,2021-11-05 21:11:57,47.5999,-53.2648,41.5,75,100,4.0
5,Laguna,US,2021-11-05 21:11:58,38.421,-121.4238,71.44,68,1,3.0
6,Pafos,CY,2021-11-05 21:11:58,34.7667,32.4167,66.11,72,9,9.22
7,Bhinga,IN,2021-11-05 21:11:58,27.7167,81.9333,62.04,66,97,5.14
8,Kearney,US,2021-11-05 21:11:59,40.6995,-99.0815,68.56,45,1,10.0
9,Punta Arenas,CL,2021-11-05 21:11:59,-53.15,-70.9167,57.31,47,40,35.68
10,Hobart,AU,2021-11-05 21:11:59,-42.8794,147.3294,62.06,70,20,5.01
11,Lompoc,US,2021-11-05 21:12:00,34.6391,-120.4579,84.69,61,1,20.71
12,Jamestown,US,2021-11-05 21:11:27,42.097,-79.2353,45.09,59,90,1.99
13,Albany,US,2021-11-05 21:12:00,42.6001,-73.9662,47.68,52,66,5.93
14,Coquimbo,CL,2021-11-05 21:12:00,-29.9533,-71.3436,60.53,67,40,11.5
15,Ushuaia,AR,2021-11-05 21:12:01,-54.8,-68.3,56.86,41,40,25.32
16,Hilo,US,2021-11-05 21:10:57,19.7297,-155.09,80.33,69,90,4.61
17,Qaanaaq,GL,2021-11-05 21:12:01,77.484,-69.3632,11.71,68,97,11.88
18,Port Alfred,ZA,2021-11-05 21:12:02,-33.5906,26.891,65.7,78,100,9.82
19,Mataura,NZ,2021-11-05 21:12:03,-46.1927,168.8643,53.47,52,86,3.09
20,Koslan,RU,2021-11-05 21:12:03,63.4564,48.8989,38.43,97,100,12.55
21,Provideniya,RU,2021-11-05 21:12:03,64.3833,-173.3,10.08,81,4,8.7
22,Castro,BR,2021-11-05 21:12:04,-24.7911,-50.0119,68.79,87,48,6.15
23,Hamilton,US,2021-11-05 21:10:55,39.1834,-84.5333,54.52,45,1,1.01
24,Santiago,CL,2021-11-05 21:09:25,-33.4569,-70.6483,80.29,26,0,11.5
25,Januaria,BR,2021-11-05 21:12:04,-15.4833,-44.3667,78.26,74,71,4.14
26,New Norfolk,AU,2021-11-05 21:12:05,-42.7826,147.0587,61.72,67,60,1.01
27,Busselton,AU,2021-11-05 21:12:05,-33.65,115.3333,46.04,78,0,7.83
28,Cidreira,BR,2021-11-05 21:12:05,-30.1811,-50.2056,69.55,88,93,12.33
29,Kaitangata,NZ,2021-11-05 21:12:06,-46.2817,169.8464,54.36,64,94,8.03
30,Puerto Ayora,EC,2021-11-05 21:12:06,-0.7393,-90.3518,75.16,74,33,11.92
31,Madang,PG,2021-11-05 21:12:06,-5.2246,145.7966,76.68,91,98,2.3
32,Airai,TL,2021-11-05 21:12:07,-8.9266,125.4092,61.59,90,88,1.92
33,Butaritari,KI,2021-11-05 21:12:07,3.0707,172.7902,82.38,72,6,12.68
34,Kavieng,PG,2021-11-05 21:12:07,-2.5744,150.7967,83.19,74,98,12.15
35,Palu,ID,2021-11-05 21:12:08,-0.8917,119.8707,75.38,96,98,2.73
36,Traverse City,US,2021-11-05 21:11:52,44.7631,-85.6206,53.67,45,75,10.36
37,Kahului,US,2021-11-05 21:09:47,20.8947,-156.47,87.82,58,20,20.71
38,Bredasdorp,ZA,2021-11-05 21:12:08,-34.5322,20.0403,49.28,75,0,1.97
39,Victoria,HK,2021-11-05 21:12:09,22.2855,114.1577,77.38,90,16,4.0
40,Vaini,TO,2021-11-05 21:12:09,-21.2,-175.2,80.76,89,40,10.36
41,Ostrovnoy,RU,2021-11-05 21:12:09,68.0531,39.5131,36.9,98,100,7.25
42,Rawson,AR,2021-11-05 21:12:10,-43.3002,-65.1023,57.4,48,0,14.05
43,Mount Gambier,AU,2021-11-05 21:10:59,-37.8333,140.7667,65.53,47,100,5.28
